frame,time_s,x,y,visible
0,0.0000,,,0
1,0.0166,,,0
2,0.0333,,,0
3,0.0499,,,0
4,0.0666,,,0
5,0.0832,,,0
6,0.0999,,,0
7,0.1165,,,0
8,0.1331,,,0
9,0.1498,,,0
10,0.1664,,,0
11,0.1831,,,0
12,0.1997,,,0
13,0.2164,,,0
14,0.2330,,,0
15,0.2496,,,0
16,0.2663,,,0
17,0.2829,,,0
18,0.2996,,,0
19,0.3162,,,0
20,0.3328,,,0
21,0.3495,,,0
22,0.3661,,,0
23,0.3828,,,0
24,0.3994,891.54,490.98,1
25,0.4161,887.04,494.56,1
26,0.4327,882.09,498.82,1
27,0.4493,877.28,503.04,1
28,0.4660,872.38,508.04,1
29,0.4826,867.86,512.38,1
30,0.4993,862.51,517.81,1
31,0.5159,856.97,523.75,1
32,0.5326,851.71,530.64,1
33,0.5492,846.75,535.80,1
34,0.5658,841.15,543.71,1
35,0.5825,835.32,551.06,1
36,0.5991,829.18,558.29,1
37,0.6158,823.78,567.83,1
38,0.6324,817.30,577.73,1
39,0.6491,811.48,586.53,1
40,0.6657,805.49,597.14,1
41,0.6823,798.39,608.51,1
42,0.6990,791.38,620.33,1
43,0.7156,784.57,633.40,1
44,0.7323,777.93,638.62,1
45,0.7489,772.00,633.05,1
46,0.7656,766.63,628.01,1
47,0.7822,760.63,622.65,1
48,0.7988,754.49,617.83,1
49,0.8155,748.22,612.98,1
50,0.8321,742.22,608.52,1
51,0.8488,735.08,603.84,1
52,0.8654,728.86,599.71,1
53,0.8821,721.79,595.58,1
54,0.8987,715.06,593.02,1
55,0.9153,706.69,587.77,1
56,0.9320,699.75,585.26,1
57,0.9486,691.59,581.41,1
58,0.9653,683.42,579.07,1
59,0.9819,676.94,576.17,1
60,0.9985,666.81,573.24,1
61,1.0152,657.58,571.01,1
62,1.0318,648.43,569.49,1
63,1.0485,638.19,567.95,1
64,1.0651,628.17,566.67,1
65,1.0818,617.78,566.28,1
66,1.0984,607.37,565.70,1
67,1.1150,595.84,565.47,1
68,1.1317,584.13,566.21,1
69,1.1483,571.82,567.29,1
70,1.1650,557.73,568.60,1
71,1.1816,545.85,570.27,1
72,1.1983,531.63,573.64,1
73,1.2149,516.90,576.94,1
74,1.2315,505.41,577.09,0
75,1.2482,492.18,579.10,0
76,1.2648,478.95,581.11,0
77,1.2815,465.71,583.12,0
78,1.2981,452.48,585.12,0
79,1.3148,439.24,587.13,0
80,1.3314,426.01,589.14,0
81,1.3480,412.77,591.14,0
82,1.3647,399.54,593.15,0
83,1.3813,386.31,595.16,0
84,1.3980,373.07,597.16,0
85,1.4146,359.84,599.17,0
86,1.4313,346.60,601.18,0
87,1.4479,333.37,603.18,0
88,1.4645,320.13,605.19,0
89,1.4812,306.90,607.20,0
90,1.4978,293.67,609.21,0
91,1.5145,280.43,611.21,0
92,1.5311,267.20,613.22,0
93,1.5478,253.96,615.23,0
94,1.5644,,,0
95,1.5810,804.50,500.14,1
96,1.5977,817.82,498.51,1
97,1.6143,830.23,496.62,1
98,1.6310,841.64,495.48,1
99,1.6476,852.11,494.87,1
100,1.6642,862.00,494.16,1
101,1.6809,871.17,493.89,1
102,1.6975,879.75,493.93,1
103,1.7142,887.54,494.42,1
104,1.7308,894.91,494.73,1
105,1.7475,901.99,495.49,1
106,1.7641,908.12,496.42,1
107,1.7807,914.02,497.60,1
108,1.7974,919.67,498.87,1
109,1.8140,925.63,500.53,1
110,1.8307,930.22,502.18,1
111,1.8473,935.15,503.49,1
112,1.8640,939.39,505.06,1
113,1.8806,945.56,506.31,0
114,1.8972,950.64,507.79,0
115,1.9139,951.51,511.22,1
116,1.9305,956.80,512.60,0
117,1.9472,961.11,514.44,0
118,1.9638,965.41,516.28,0
119,1.9805,969.72,518.12,0
120,1.9971,968.35,523.08,1
121,2.0137,972.35,525.08,0
122,2.0304,974.27,528.50,1
123,2.0470,977.87,530.69,0
124,2.0637,981.02,533.20,0
125,2.0803,982.88,536.81,1
126,2.0970,986.08,539.30,0
127,2.1136,989.00,542.01,0
128,2.1302,991.92,544.72,0
129,2.1469,994.84,547.43,0
130,2.1635,997.76,550.15,0
131,2.1802,1000.68,552.86,0
132,2.1968,1003.60,555.57,0
133,2.2134,1006.52,558.28,0
134,2.2301,1009.44,561.00,0
135,2.2467,1012.36,563.71,0
136,2.2634,1015.29,566.42,0
137,2.2800,1018.21,569.13,0
138,2.2967,1021.13,571.85,0
139,2.3133,1024.05,574.56,0
140,2.3299,1026.97,577.27,0
141,2.3466,1029.89,579.99,0
142,2.3632,1032.81,582.70,0
143,2.3799,1035.73,585.41,0
144,2.3965,1038.65,588.12,0
145,2.4132,1041.58,590.84,0
146,2.4298,,,0
147,2.4464,,,0
148,2.4631,,,0
149,2.4797,,,0
150,2.4964,,,0
151,2.5130,,,0
152,2.5297,,,0
153,2.5463,,,0
154,2.5629,,,0
155,2.5796,,,0
156,2.5962,,,0
157,2.6129,,,0
158,2.6295,,,0
159,2.6462,,,0
160,2.6628,,,0
161,2.6794,,,0
162,2.6961,,,0
163,2.7127,,,0
164,2.7294,,,0
165,2.7460,,,0
166,2.7627,,,0
167,2.7793,,,0
168,2.7959,,,0
169,2.8126,,,0
170,2.8292,,,0
171,2.8459,,,0
172,2.8625,,,0
173,2.8791,,,0
174,2.8958,,,0
175,2.9124,,,0
176,2.9291,,,0
177,2.9457,,,0
178,2.9624,,,0
179,2.9790,,,0
180,2.9956,,,0
181,3.0123,,,0
182,3.0289,,,0
183,3.0456,,,0
184,3.0622,,,0
185,3.0789,,,0
186,3.0955,,,0
187,3.1121,,,0
188,3.1288,,,0
189,3.1454,,,0
190,3.1621,,,0
191,3.1787,,,0
192,3.1954,,,0
193,3.2120,,,0
194,3.2286,,,0
195,3.2453,,,0
196,3.2619,,,0
197,3.2786,947.38,459.48,1
198,3.2952,943.50,460.00,1
199,3.3119,941.51,457.25,0
200,3.3285,938.89,455.55,0
201,3.3451,931.45,462.15,1
202,3.3618,927.39,463.32,1
203,3.3784,922.83,465.45,1
204,3.3951,918.05,467.31,1
205,3.4117,913.90,469.38,1
206,3.4284,909.10,471.92,1
207,3.4450,903.91,475.08,1
208,3.4616,898.47,478.74,1
209,3.4783,893.45,482.10,1
210,3.4949,888.22,486.49,1
211,3.5116,882.24,491.17,1
212,3.5282,876.27,496.26,1
213,3.5448,869.69,502.09,1
214,3.5615,863.27,508.33,1
215,3.5781,856.85,514.66,1
216,3.5948,849.81,522.34,1
217,3.6114,842.10,530.93,1
218,3.6281,836.64,536.95,1
219,3.6447,827.07,548.74,1
220,3.6613,818.76,559.35,1
221,3.6780,809.84,569.79,1
222,3.6946,801.59,582.22,1
223,3.7113,792.35,594.89,1
224,3.7279,781.90,609.68,1
225,3.7446,771.69,624.78,1
226,3.7612,760.87,641.35,1
227,3.7778,750.58,657.49,1
228,3.7945,736.87,679.43,1
229,3.8111,724.76,699.89,1
230,3.8278,712.37,718.71,1
231,3.8444,699.88,711.85,1
232,3.8611,688.13,704.44,1
233,3.8777,675.33,696.73,1
234,3.8943,662.33,689.84,1
235,3.9110,648.33,682.51,1
236,3.9276,633.65,675.43,1
237,3.9443,618.16,669.31,1
238,3.9609,590.33,672.33,1
239,3.9776,581.75,663.63,0
240,3.9942,565.44,657.87,0
241,4.0108,549.12,652.11,0
242,4.0275,532.80,646.35,0
243,4.0441,516.48,640.59,0
244,4.0608,500.17,634.83,0
245,4.0774,483.85,629.07,0
246,4.0940,467.53,623.31,0
247,4.1107,451.21,617.55,0
248,4.1273,434.90,611.79,0
249,4.1440,418.58,606.03,0
250,4.1606,402.26,600.27,0
251,4.1773,385.94,594.51,0
252,4.1939,369.63,588.75,0
253,4.2105,353.31,582.99,0
254,4.2272,336.99,577.23,0
255,4.2438,320.68,571.47,0
256,4.2605,304.36,565.71,0
257,4.2771,288.04,559.95,0
258,4.2938,271.72,554.19,0
259,4.3104,,,0
260,4.3270,689.64,473.08,1
261,4.3437,698.69,463.40,0
262,4.3603,709.51,453.45,0
263,4.3770,716.92,467.81,1
264,4.3936,723.58,467.38,1
265,4.4103,730.26,466.79,1
266,4.4269,736.53,466.68,1
267,4.4435,742.00,466.76,1
268,4.4602,747.50,466.85,1
269,4.4768,752.50,467.31,1
270,4.4935,756.43,467.98,1
271,4.5101,760.05,468.35,1
272,4.5268,763.85,469.52,1
273,4.5434,767.56,470.60,1
274,4.5600,771.06,471.95,1
275,4.5767,774.03,473.44,1
276,4.5933,776.63,474.92,1
277,4.6100,779.42,476.44,1
278,4.6266,783.17,477.46,0
279,4.6433,786.24,478.83,0
280,4.6599,789.32,480.20,0
281,4.6765,792.39,481.57,0
282,4.6932,795.46,482.93,0
283,4.7098,798.54,484.30,0
284,4.7265,801.61,485.67,0
285,4.7431,804.69,487.04,0
286,4.7597,807.76,488.41,0
